Date,tikr,open,high,low,close,volume
2021-02-08,ADANIPORTS.NS,572.15,594.0,571.1,582.05,8887710
2021-02-09,ADANIPORTS.NS,589.65,589.8,573.2,581.95,10917915
2021-02-10,ADANIPORTS.NS,584.75,587.0,550.5,576.85,19987392
2021-02-11,ADANIPORTS.NS,576.85,593.7,576.3,591.85,10595917
2021-02-12,ADANIPORTS.NS,592.3,621.65,586.1,616.6,24953701
2021-02-15,ADANIPORTS.NS,617.95,639.9,610.8,627.75,15146033
2021-02-16,ADANIPORTS.NS,629.8,643.5,628.05,636.55,15120148
2021-02-17,ADANIPORTS.NS,658.0,670.0,646.9,655.75,34868085
2021-02-18,ADANIPORTS.NS,660.8,670.0,649.05,664.05,13189027
2021-02-19,ADANIPORTS.NS,664.95,676.65,628.65,653.5,17553743
2021-02-22,ADANIPORTS.NS,658.8,678.5,649.0,673.8,16739107
2021-02-23,ADANIPORTS.NS,680.0,682.7,659.25,662.0,11247164
2021-02-24,ADANIPORTS.NS,666.7,671.0,653.4,665.2,3919187
2021-02-25,ADANIPORTS.NS,669.4,711.35,667.15,704.3,18596690
2021-02-26,ADANIPORTS.NS,697.1,703.45,668.0,675.9,19909990
2021-03-01,ADANIPORTS.NS,684.6,704.65,673.3,692.9,11600468
2021-03-02,ADANIPORTS.NS,697.6,724.7,696.0,720.5,11486477
2021-03-03,ADANIPORTS.NS,732.0,754.95,723.4,729.85,19961472
2021-03-04,ADANIPORTS.NS,733.25,765.7,715.85,752.45,30607959
2021-03-05,ADANIPORTS.NS,752.45,761.0,730.5,748.95,17665200
2021-03-08,ADANIPORTS.NS,762.7,767.8,744.2,748.4,15286852
2021-03-09,ADANIPORTS.NS,755.55,759.4,738.65,750.75,8548163
2021-03-10,ADANIPORTS.NS,757.5,759.1,743.0,745.35,5235249
2021-03-12,ADANIPORTS.NS,749.0,752.1,723.0,728.15,10961076
2021-03-15,ADANIPORTS.NS,727.8,727.8,706.05,719.05,13403522
2021-03-16,ADANIPORTS.NS,731.4,735.7,714.25,717.35,14979009
2021-03-17,ADANIPORTS.NS,715.0,716.95,683.8,688.25,8151544
2021-03-18,ADANIPORTS.NS,695.0,705.5,675.4,679.65,10925357
2021-03-19,ADANIPORTS.NS,677.4,691.5,657.1,686.25,10373422
2021-03-22,ADANIPORTS.NS,686.0,726.25,681.0,721.9,22864950
2021-03-23,ADANIPORTS.NS,730.25,755.0,727.1,738.55,30612174
2021-03-24,ADANIPORTS.NS,741.0,750.5,697.65,706.85,21213413
2021-03-25,ADANIPORTS.NS,711.0,712.35,683.15,688.25,16860086
2021-03-26,ADANIPORTS.NS,698.0,710.7,692.6,703.05,12350673
2021-03-30,ADANIPORTS.NS,703.05,718.0,697.3,710.55,9109273
2021-03-31,ADANIPORTS.NS,705.0,719.9,698.6,702.4,7752226
2021-04-01,ADANIPORTS.NS,713.5,742.0,705.0,736.25,15017049
2021-04-05,ADANIPORTS.NS,731.75,745.0,715.0,742.25,15622924
2021-04-06,ADANIPORTS.NS,756.0,852.7,743.0,835.55,64555516
2021-04-07,ADANIPORTS.NS,857.0,885.0,795.0,814.75,97717880
2021-04-08,ADANIPORTS.NS,818.0,838.0,806.0,823.0,34025873
2021-04-09,ADANIPORTS.NS,824.75,837.0,817.05,823.6,21804785
2021-01-11,ALKEM.NS,3033.5,3097.88,2980.95,3067.55,180771
2021-01-12,ALKEM.NS,3072.16,3121.72,2982.09,3035.83,258711
2021-01-13,ALKEM.NS,3056.89,3087.03,3023.73,3064.72,181970
2021-01-14,ALKEM.NS,3085.05,3097.93,3044.4,3081.58,87367
2021-01-15,ALKEM.NS,3103.48,3103.48,3047.47,3077.81,119941
2021-01-18,ALKEM.NS,3053.32,3087.72,2962.81,3021.15,224661
2021-01-19,ALKEM.NS,2999.79,3057.29,2996.52,3026.41,181947
2021-01-20,ALKEM.NS,3050.0,3076.12,3009.16,3056.54,59059
2021-01-21,ALKEM.NS,3068.19,3102.15,3005.94,3048.91,77641
2021-01-22,ALKEM.NS,3023.58,3083.06,2960.14,3008.61,116389
2021-01-25,ALKEM.NS,3029.53,3121.72,2918.35,3083.36,102024
2021-01-27,ALKEM.NS,3091.98,3124.2,2973.57,3023.19,107290
2021-01-28,ALKEM.NS,3013.67,3054.51,2976.99,3025.37,83689
2021-01-29,ALKEM.NS,3025.37,3044.4,2955.72,2980.9,122079
2021-02-01,ALKEM.NS,2988.89,3003.76,2879.99,2918.5,121811
2021-02-02,ALKEM.NS,2924.45,2947.2,2835.23,2877.61,171959
2021-02-03,ALKEM.NS,2885.79,2963.56,2879.84,2916.22,118604
2021-02-04,ALKEM.NS,2930.64,2972.03,2914.68,2951.31,43371
2021-02-05,ALKEM.NS,2988.59,2988.89,2893.72,2918.45,216978
2021-02-08,ALKEM.NS,2939.32,2940.36,2852.08,2876.81,159798
2021-02-09,ALKEM.NS,2890.69,2895.85,2813.42,2850.59,185904
2021-02-10,ALKEM.NS,2876.86,2897.58,2827.35,2861.3,123673
2021-02-11,ALKEM.NS,2884.0,2900.0,2852.35,2891.1,59000
2021-02-12,ALKEM.NS,2873.15,2900.0,2860.0,2869.25,50540
2021-02-15,ALKEM.NS,2869.25,2915.45,2858.0,2885.95,163974
2021-02-16,ALKEM.NS,2895.0,2918.1,2861.0,2876.2,87480
2021-02-17,ALKEM.NS,2880.0,2889.0,2786.95,2816.3,120723
2021-02-18,ALKEM.NS,2828.9,2851.9,2805.2,2841.0,35431
2021-02-19,ALKEM.NS,2860.0,2892.0,2842.75,2875.5,100531
2021-02-22,ALKEM.NS,2868.5,2879.9,2725.0,2758.4,72608
2021-02-23,ALKEM.NS,2844.5,2844.5,2711.95,2724.7,100733
2021-02-24,ALKEM.NS,2757.0,2779.0,2710.05,2761.8,40520
2021-02-25,ALKEM.NS,2782.3,2788.5,2720.05,2733.5,135048
2021-02-26,ALKEM.NS,2714.0,2825.0,2710.0,2722.05,125250
2021-03-01,ALKEM.NS,2743.1,2855.0,2722.1,2827.3,75867
2021-03-02,ALKEM.NS,2831.0,2961.0,2821.05,2914.65,189764
2021-03-03,ALKEM.NS,2932.0,2942.0,2835.0,2842.1,224139
2021-03-04,ALKEM.NS,2844.85,2858.7,2805.15,2829.65,115653
2021-03-05,ALKEM.NS,2818.25,2845.9,2777.0,2783.35,116162
2021-03-08,ALKEM.NS,2794.2,2803.95,2768.1,2785.65,36017
2021-03-09,ALKEM.NS,2791.3,2808.5,2750.2,2772.4,93079
2021-03-10,ALKEM.NS,2772.0,2798.65,2732.0,2739.75,184661
2021-03-12,ALKEM.NS,2761.0,2786.5,2730.0,2773.5,148218
2021-03-15,ALKEM.NS,2798.0,2798.0,2673.95,2685.9,136075
2021-03-16,ALKEM.NS,2686.0,2702.3,2645.95,2657.5,86396
2021-03-17,ALKEM.NS,2665.0,2675.0,2626.0,2631.6,57460
2021-03-18,ALKEM.NS,2628.0,2651.6,2609.15,2629.55,85292
2021-03-19,ALKEM.NS,2608.0,2635.0,2584.4,2624.85,143667
2021-03-22,ALKEM.NS,2634.2,2659.3,2606.2,2620.55,120147
2021-03-23,ALKEM.NS,2642.0,2650.0,2585.0,2597.5,98033
2021-03-24,ALKEM.NS,2610.0,2641.75,2540.05,2574.8,120095
2021-03-25,ALKEM.NS,2575.0,2662.95,2575.0,2640.35,476707
2021-03-26,ALKEM.NS,2685.5,2685.5,2627.5,2650.05,89771
2021-03-30,ALKEM.NS,2660.0,2755.8,2655.05,2739.65,174143
2021-03-31,ALKEM.NS,2732.9,2799.0,2720.0,2769.8,154715
2021-04-01,ALKEM.NS,2766.0,2794.0,2735.25,2775.45,79864
2021-04-05,ALKEM.NS,2772.0,2772.0,2670.1,2707.45,150201
2021-04-06,ALKEM.NS,2714.0,2794.0,2700.1,2722.85,231028
2021-04-07,ALKEM.NS,2740.0,2780.2,2716.5,2727.05,114603
2021-04-08,ALKEM.NS,2745.0,2760.0,2704.0,2706.45,90791
2021-04-09,ALKEM.NS,2710.0,2882.0,2710.0,2832.3,630670
2021-01-11,AMARAJABAT.NS,1001.32,1002.86,981.13,988.79,572983
2021-01-12,AMARAJABAT.NS,988.39,1010.47,984.66,989.34,952619
2021-01-13,AMARAJABAT.NS,1000.22,1007.88,974.77,980.79,795209
2021-01-14,AMARAJABAT.NS,982.43,1017.23,967.51,1008.03,1191620
2021-01-15,AMARAJABAT.NS,1019.22,1019.76,986.45,1001.07,1022254
2021-01-18,AMARAJABAT.NS,994.36,997.14,958.61,964.53,589435
2021-01-19,AMARAJABAT.NS,964.58,989.98,964.58,987.15,589575
2021-01-20,AMARAJABAT.NS,986.5,991.52,969.0,973.08,606883
2021-01-21,AMARAJABAT.NS,982.43,987.0,960.85,967.71,476476
2021-01-22,AMARAJABAT.NS,969.5,1003.51,968.5,973.63,1633086
2021-01-25,AMARAJABAT.NS,980.44,985.06,943.2,965.97,636369
2021-01-27,AMARAJABAT.NS,965.52,976.36,947.33,950.86,582753
2021-01-28,AMARAJABAT.NS,930.72,964.43,930.72,956.87,616244
2021-01-29,AMARAJABAT.NS,963.88,966.72,905.86,913.02,962606
2021-02-01,AMARAJABAT.NS,913.82,936.04,893.63,928.63,845579
2021-02-02,AMARAJABAT.NS,935.79,969.4,933.21,935.64,1082380
2021-02-03,AMARAJABAT.NS,944.64,962.54,932.11,950.51,1042839
2021-02-04,AMARAJABAT.NS,954.39,966.52,948.17,955.23,597360
2021-02-05,AMARAJABAT.NS,957.07,958.96,930.52,935.29,540240
2021-02-08,AMARAJABAT.NS,943.3,988.39,938.67,971.94,1745360
2021-02-09,AMARAJABAT.NS,979.29,989.88,959.11,963.23,961015
2021-02-10,AMARAJABAT.NS,966.86,989.39,960.6,986.55,930203
2021-02-11,AMARAJABAT.NS,994.36,1003.31,969.5,978.0,1813760
2021-02-12,AMARAJABAT.NS,980.44,994.21,960.55,982.08,672251
2021-02-15,AMARAJABAT.NS,951.6,951.6,908.84,923.16,4314026
2021-02-16,AMARAJABAT.NS,923.16,929.68,898.9,902.78,2237254
2021-02-17,AMARAJABAT.NS,896.81,911.38,891.94,896.66,1507040
2021-02-18,AMARAJABAT.NS,902.88,906.85,883.59,886.77,1071101
2021-02-19,AMARAJABAT.NS,888.91,893.58,863.1,872.6,1095640
2021-02-22,AMARAJABAT.NS,881.0,907.7,873.1,899.79,2932938
2021-02-23,AMARAJABAT.NS,899.89,904.77,873.15,885.53,1402291
2021-02-24,AMARAJABAT.NS,891.39,893.93,863.35,881.25,564780
2021-02-25,AMARAJABAT.NS,891.9,899.65,878.85,890.35,1508314
2021-02-26,AMARAJABAT.NS,885.0,886.9,872.1,882.15,1084457
2021-03-01,AMARAJABAT.NS,882.9,904.0,881.1,900.0,694023
2021-03-02,AMARAJABAT.NS,904.95,910.7,895.7,908.25,745895
2021-03-03,AMARAJABAT.NS,911.0,923.3,908.25,914.2,1106998
2021-03-04,AMARAJABAT.NS,914.2,929.7,906.6,919.0,1391787
2021-03-05,AMARAJABAT.NS,918.85,918.85,887.45,892.6,1133036
2021-03-08,AMARAJABAT.NS,902.0,909.0,893.0,902.2,638116
2021-03-09,AMARAJABAT.NS,903.0,908.1,879.95,887.6,600574
2021-03-10,AMARAJABAT.NS,891.05,899.7,887.5,896.1,420121
2021-03-12,AMARAJABAT.NS,899.45,908.8,890.05,893.25,828479
2021-03-15,AMARAJABAT.NS,897.0,897.35,871.4,893.4,709333
2021-03-16,AMARAJABAT.NS,894.05,901.7,889.55,891.55,505528
2021-03-17,AMARAJABAT.NS,895.45,895.55,862.0,866.1,604412
2021-03-18,AMARAJABAT.NS,872.0,883.2,858.6,862.7,650808
2021-03-19,AMARAJABAT.NS,859.0,877.45,853.0,868.8,1408861
2021-03-22,AMARAJABAT.NS,871.0,876.45,865.1,874.4,353785
2021-03-23,AMARAJABAT.NS,878.35,886.45,874.15,877.25,495199
2021-03-24,AMARAJABAT.NS,870.0,874.8,855.05,857.2,550106
2021-03-25,AMARAJABAT.NS,854.0,857.2,837.0,845.1,680694
2021-03-26,AMARAJABAT.NS,859.85,859.85,837.65,840.65,568500
2021-03-30,AMARAJABAT.NS,845.0,858.0,842.15,855.35,451463
2021-03-31,AMARAJABAT.NS,855.35,868.8,850.8,853.8,505443
2021-04-01,AMARAJABAT.NS,858.95,865.95,855.1,860.5,400848
