,tikr,entrydate,exitdate,change1,change0,totalchange,changediff,entry,exit,pnl
2,AUBANK.NS,2021-03-04,2021-03-05,0.05587,0.0429,0.10143,0.01297,1268.0,1274.0,633.99
1,LTI.NS,2021-03-10,2021-03-12,0.05966,0.00784,0.07297,0.05182,4128.95,4168.0,1331.84
0,SIEMENS.NS,2021-03-12,2021-03-15,0.0074,0.002,0.00979,0.0054,1919.2,1924.5,339.41
0,NMDC.NS,2021-03-15,2021-03-16,0.01298,0.01169,0.03234,0.00129,127.94,128.46,535.41
0,ITC.NS,2021-03-17,2021-03-18,0.01323,0.01168,0.02613,0.00155,210.6,213.0,1634.74
0,ITC.NS,2021-03-18,2021-03-19,0.03348,0.01323,0.05839,0.02025,217.65,219.0,856.11
0,ACC.NS,2021-03-22,2021-03-23,0.05983,0.01342,0.07562,0.04641,1846.01,1845.96,-77.02
1,NMDC.NS,2021-03-23,2021-03-24,0.02925,0.02078,0.05838,0.00847,131.95,131.0,-1153.12
0,GUJGASLTD.NS,2021-03-26,2021-03-30,0.01231,0.00117,0.01377,0.01114,518.15,524.0,1616.6
4,JSWSTEEL.NS,2021-03-30,2021-03-31,0.04998,0.01644,0.06791,0.03354,467.45,467.35,-106.11
4,ICICIPRULI.NS,2021-03-31,2021-04-01,0.03208,0.00255,0.03603,0.02953,445.6,447.45,549.41
3,PNB.NS,2021-04-01,2021-04-05,0.04229,0.01383,0.06029,0.02846,38.2,38.55,1300.39
2,JSWSTEEL.NS,2021-04-07,2021-04-08,0.04624,0.03855,0.10199,0.00769,562.3,572.0,2515.78
4,JSWSTEEL.NS,2021-04-08,2021-04-09,0.09212,0.04624,0.17691,0.04588,614.1,618.0,877.57
